Timestamp,OC-02-S1_temperature,OC-02-S1_contact,OC-02-S1_tamper,OC-01-HWA_temperature,OC-01-HWA_tamper,OC-00-H1_tamper,OC-00-H1_contact_x,OC-00-H1_temperature,A6-00-HW_humidity,A6-00-HW_temperature,A6-00-HW_motion,A6-00-HW_illuminance,A6-00-HW_tamper,A6-02-SL_humidity,A6-02-SL_temperature,A6-02-SL_illuminance,A6-02-SL_motion,A6-02-B4_humidity,A6-02-B4_temperature,A6-02-B4_illuminance,A6-02-B4_motion,A6-01-B3_humidity,A6-01-B3_temperature,A6-01-B3_illuminance,A6-01-B3_motion,A6-01-B1_humidity_x,A6-01-B1_temperature_x,A6-01-B1_illuminance_x,A6-01-B1_motion_x,A6-00-K1_humidity_x,A6-00-K1_temperature_x,A6-00-K1_motion_x,A6-00-K1_illuminance_x,A6-00-K1_tamper_x,A6-00-L1_humidity,A6-00-L1_temperature,A6-00-L1_motion,A6-00-L1_illuminance,A6-00-L1_ultravioletIndex,A6-01-B2_humidity,A6-01-B2_temperature,A6-01-B2_illuminance,A6-01-B2_motion,A6-01-B2_tamper,S3-00-L1_Mass Concentration PM1.0,S3-00-L1_Mass Concentration PM2.5,S3-00-L1_Mass Concentration PM4.0,S3-00-L1_Mass Concentration PM10.0,S3-00-L1_Number Concentration NC0.5,S3-00-L1_Number Concentration NC1.0,S3-00-L1_Number Concentration NC2.5,S3-00-L1_Number Concentration NC4.0,S3-00-L1_Number Concentration NC10.0,S3-00-L1_Typical Particle Size,OC-01-B3_temperature,OC-01-B3_tamper,OC-01-B3_contact,OC-01-B3A_temperature,OC-00-L1_temperature,OC-00-L1_tamper,A6-01-H2_motion,A6-01-H2_humidity,A6-01-H2_temperature,A6-01-H2_illuminance,A6-02-H3_humidity,A6-02-H3_temperature,A6-02-H3_illuminance,A6-02-H3_motion,A6-02-H3_tamper,S3-01-B1_Mass Concentration PM1.0,S3-01-B1_Mass Concentration PM10.0,S3-01-B1_Mass Concentration PM2.5,S3-01-B1_Mass Concentration PM4.0,S3-01-B1_Number Concentration NC0.5,S3-01-B1_Number Concentration NC1.0,S3-01-B1_Number Concentration NC10.0,S3-01-B1_Number Concentration NC2.5,S3-01-B1_Number Concentration NC4.0,S3-01-B1_Typical Particle Size,OC-00-H1_contact_y,OC-00-U1_contact,OC-01-W1_contact,A6-00-K1_humidity_y,A6-00-K1_illuminance_y,A6-00-K1_motion_y,A6-00-K1_temperature_y,A6-00-K1_tamper_y,A6-01-B1_humidity_y,A6-01-B1_illuminance_y,A6-01-B1_motion_y,A6-01-B1_temperature_y,OC-00-L1_contact,OC-01-HB_contact,OC-01-BD_contact
2022-10-18 00:00:10,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:11,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:12,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:13,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:14,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:15,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:16,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:17,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:18,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:19,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:20,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:21,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:22,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:23,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:24,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:25,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:26,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:27,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:00:28,17.3,1.0,1.0,20.6,1.0,0.0,0.0,20.4,53.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,1.71,1.82,1.82,1.83,11.68,13.6,13.66,13.66,13.67,0.58,22.2,1.0,0.0,21.0,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.21,3.4,3.4,3.4,21.9,25.54,25.64,25.63,25.64,0.53,0.0,1.0,0.0,53.0,0.0,0.0,20.5,0.0,53.0,0.0,0.0,20.4,1.0,1.0,1.0
